"species","habitat","hour","day","month","timestamp","season","count"
"Deer","Forest","08","11","06",2023-06-11 08:00:00,"Summer",5
"Deer","Forest","15","12","06",2023-06-12 15:00:00,"Summer",4
"Deer","Forest","10","07","04",2023-04-07 10:00:00,"Spring",5
"Deer","Forest","12","16","10",2023-10-16 12:00:00,"Fall",4
"Deer","Forest","15","11","10",2023-10-11 15:00:00,"Fall",6
"Deer","Forest","12","11","08",2023-08-11 12:00:00,"Summer",5
"Deer","Forest","05","25","05",2023-05-25 05:00:00,"Spring",1
"Deer","Forest","15","18","10",2023-10-18 15:00:00,"Fall",4
"Deer","Forest","07","03","09",2023-09-03 07:00:00,"Fall",2
"Deer","Forest","11","28","06",2023-06-28 11:00:00,"Summer",4
"Deer","Forest","19","21","06",2023-06-21 19:00:00,"Summer",4
"Deer","Forest","09","12","11",2023-11-12 09:00:00,"Fall",4
"Deer","Forest","09","17","11",2023-11-17 09:00:00,"Fall",3
"Deer","Forest","14","03","10",2023-10-03 14:00:00,"Fall",2
"Deer","Forest","22","21","06",2023-06-21 22:00:00,"Summer",2
"Deer","Forest","16","02","07",2023-07-02 16:00:00,"Summer",6
"Deer","Forest","13","02","10",2023-10-02 13:00:00,"Fall",7
"Deer","Forest","08","04","10",2023-10-04 08:00:00,"Fall",2
"Deer","Forest","13","09","07",2023-07-09 13:00:00,"Summer",2
"Deer","Forest","09","28","06",2023-06-28 09:00:00,"Summer",5
"Deer","Forest","14","13","06",2023-06-13 14:00:00,"Summer",3
"Deer","Forest","11","30","03",2023-03-30 11:00:00,"Spring",5
"Deer","Forest","13","23","06",2023-06-23 13:00:00,"Summer",3
"Deer","Forest","04","06","10",2023-10-06 04:00:00,"Fall",1
"Deer","Forest","09","04","09",2023-09-04 09:00:00,"Fall",5
"Deer","Forest","04","16","09",2023-09-16 04:00:00,"Fall",4
"Deer","Forest","13","22","09",2023-09-22 13:00:00,"Fall",3
"Deer","Forest","17","25","06",2023-06-25 17:00:00,"Summer",4
"Deer","Forest","10","14","06",2023-06-14 10:00:00,"Summer",3
"Deer","Forest","09","10","07",2023-07-10 09:00:00,"Summer",5
"Deer","Forest","13","02","07",2023-07-02 13:00:00,"Summer",3
"Deer","Forest","13","30","07",2023-07-30 13:00:00,"Summer",5
"Deer","Forest","15","21","07",2023-07-21 15:00:00,"Summer",4
"Deer","Forest","09","19","03",2023-03-19 09:00:00,"Spring",5
