"","Amnt_hunting_fac","Education_fac","Gender","Years_Hunted"
"1","Stayed about the same","College_Degree","Male",1
"2","Decreased","Advanced_Degree","Male",1
"3","Stayed about the same","High_School","Male",6
"4","Stayed about the same","College_Degree","Male",1
"5","Decreased","College_Degree","Male",1
"6","Stayed about the same","College_Degree","Female",1
"7","Increased","Advanced_Degree","Female",6
"8","Decreased","High_School","Male",6
"9","Stayed about the same","High_School","Male",1
"10","Stayed about the same","College_Degree","Male",15
"11","Increased","College_Degree","Male",3
"12","Decreased","High_School","Male",10
"13","Stayed about the same","Advanced_Degree","Male",1
"14","Increased","College_Degree","Male",4
"15","Stayed about the same","College_Degree","Male",8
"16","Decreased","High_School","Male",25
"17","Increased","High_School","Male",1
"18","Increased","College_Degree","Male",6
"19","Stayed about the same","Advanced_Degree","Male",20
"20","Stayed about the same","High_School","Male",10
"21","Decreased","High_School","Male",8
"22","Increased","College_Degree","Male",1
"23","Decreased","Advanced_Degree","Male",25
"24","Decreased","College_Degree","Male",2
"25","Increased",NA,"Male",1
"26","Stayed about the same","Advanced_Degree","Male",4
"27","Stayed about the same","College_Degree","Male",3
"28","Increased","Advanced_Degree","Male",20
"29","Stayed about the same","College_Degree","Female",4
"30","Stayed about the same","College_Degree","Male",5
"31","Stayed about the same","College_Degree","Male",5
"32",NA,"College_Degree","Male",1
"33","Stayed about the same","College_Degree","Male",50
"34","Increased","College_Degree","Male",8
"35","Stayed about the same","College_Degree","Male",1
"36","Increased","Advanced_Degree","Male",15
"37","Stayed about the same","Advanced_Degree","Male",1
"38",NA,"College_Degree","Male",1
"39","Stayed about the same","College_Degree","Male",5
"40","Stayed about the same","Advanced_Degree","Male",10
"41","Stayed about the same","College_Degree","Male",21
"42","Increased","Advanced_Degree","Male",7
"43",NA,"College_Degree","Male",1
"44","Decreased","Advanced_Degree","Male",5
"45","Stayed about the same","College_Degree","Male",1
"46","Decreased","Advanced_Degree","Male",1
"47","Stayed about the same","High_School","Male",1
"48",NA,"College_Degree","Male",1
"49","Decreased","College_Degree","Male",3
"50","Increased","College_Degree","Male",2
"51","Stayed about the same","High_School","Male",1
"52","Stayed about the same","High_School","Male",2
"53","Decreased","Advanced_Degree","Male",10
"54","Increased","College_Degree","Male",14
"55","Increased","College_Degree","Male",5
"56","Increased","College_Degree","Male",4
"57","Increased","College_Degree","Male",2
"58","Decreased","High_School","Male",2
"59","Stayed about the same","High_School","Male",15
"60","Increased","High_School","Male",1
"61","Increased","High_School","Male",5
"62","Increased","College_Degree","Male",21
"63","Decreased","High_School","Male",1
"64","Increased","High_School","Male",7
"65","Stayed about the same","College_Degree","Male",4
"66","Stayed about the same","High_School","Male",10
"67","Decreased","College_Degree","Male",2
"68","Increased","High_School","Male",3
"69","Decreased","College_Degree","Male",30
"70","Increased","High_School","Male",6
"71","Stayed about the same","High_School","Male",2
"72","Increased","College_Degree","Male",6
"73","Increased","College_Degree","Male",10
"74","Decreased","Advanced_Degree","Male",4
"75","Decreased","College_Degree","Female",6
"76","Stayed about the same","Advanced_Degree","Male",1
"77","Stayed about the same","College_Degree","Male",6
"78","Stayed about the same","College_Degree","Male",20
"79","Increased","Advanced_Degree","Male",1
"80","Decreased","High_School","Male",13
"81","Decreased","High_School","Male",12
"82","Stayed about the same","Advanced_Degree","Male",4
"83","Increased","College_Degree","Male",2
"84","Stayed about the same","High_School","Male",3
"85","Increased","High_School","Male",16
"86","Stayed about the same","Advanced_Degree","Male",6
"87","Stayed about the same","High_School","Male",3
"88","Stayed about the same","High_School","Male",3
"89","Increased","College_Degree","Male",13
"90","Increased","College_Degree","Male",6
"91","Increased","High_School","Male",1
"92","Decreased","High_School","Male",40
"93","Increased","High_School","Male",6
"94","Decreased","High_School","Male",20
"95","Stayed about the same","College_Degree","Male",8
"96","Decreased","College_Degree","Male",20
"97","Stayed about the same","Advanced_Degree","Male",7
"98","Stayed about the same","Advanced_Degree","Male",37
"99","Stayed about the same","High_School","Male",22
"100","Stayed about the same","High_School","Male",25
"101","Decreased","High_School","Male",20
"102","Decreased","College_Degree","Male",99
"103","Decreased","College_Degree","Male",12
"104","Increased","College_Degree","Male",3
"105","Decreased","College_Degree","Male",20
"106","Stayed about the same","College_Degree","Male",20
"107","Stayed about the same","College_Degree","Male",5
"108","Decreased","High_School","Male",37
"109","Increased","College_Degree","Male",30
"110","Increased","College_Degree","Male",7
"111","Increased","College_Degree","Male",1
"112","Decreased","High_School","Male",53
"113","Stayed about the same","High_School","Male",43
"114","Decreased","High_School","Male",4
"115","Decreased","College_Degree","Male",30
"116","Stayed about the same","Advanced_Degree","Male",5
"117","Stayed about the same","High_School","Male",65
"118","Decreased","High_School","Male",28
"119","Stayed about the same","High_School","Male",13
"120","Stayed about the same","High_School","Male",3
"121","Increased","College_Degree","Male",4
"122","Stayed about the same","College_Degree","Male",2
"123","Decreased","College_Degree","Male",1
"124","Stayed about the same","College_Degree","Male",2
"125","Stayed about the same","College_Degree","Male",10
"126","Stayed about the same","Advanced_Degree","Male",14
"127","Stayed about the same","College_Degree","Male",11
"128","Stayed about the same","Advanced_Degree","Male",6
"129","Decreased","High_School","Male",25
"130","Stayed about the same","College_Degree","Male",4
"131","Stayed about the same","College_Degree","Male",7
"132","Increased","High_School","Male",1
"133","Increased","High_School","Male",1
"134","Stayed about the same","College_Degree","Male",3
"135","Increased","High_School","Male",1
"136","Stayed about the same","High_School","Male",4
"137","Increased","College_Degree","Male",10
"138","Increased","High_School","Male",35
"139","Stayed about the same","High_School","Male",17
"140","Stayed about the same","High_School","Male",3
"141","Decreased","College_Degree","Male",9
"142","Increased","High_School","Male",21
"143","Decreased","College_Degree","Female",20
"144","Stayed about the same","College_Degree","Male",10
"145","Increased","High_School","Male",5
"146","Decreased","College_Degree","Male",8
"147","Increased","College_Degree","Male",7
"148","Decreased","College_Degree","Male",22
"149","Decreased","Advanced_Degree","Male",35
"150","Increased","College_Degree","Male",20
"151","Increased","College_Degree","Male",36
"152","Increased","College_Degree","Male",1
"153","Stayed about the same","College_Degree","Male",2
"154","Stayed about the same","High_School","Male",42
"155","Decreased","High_School","Male",15
"156","Stayed about the same","College_Degree","Male",4
"157","Stayed about the same","High_School","Male",4
"158","Decreased","Advanced_Degree","Male",15
"159","Increased","Advanced_Degree","Male",2
"160","Stayed about the same","High_School","Male",10
"161","Stayed about the same","Advanced_Degree","Male",7
"162","Increased","High_School","Male",4
"163","Stayed about the same","Advanced_Degree","Male",2
"164","Increased","Advanced_Degree","Male",2
"165","Stayed about the same","College_Degree","Male",20
"166","Increased","Advanced_Degree","Male",1
"167","Stayed about the same","College_Degree","Male",1
"168","Stayed about the same","College_Degree","Male",2
"169","Decreased","High_School","Male",2
"170","Stayed about the same","College_Degree","Male",3
"171",NA,"High_School","Male",3
