"","beetle.count","cover"
"1",NA,95.08
"2",NA,71.39
"3",NA,97.97
"4",49.2018525000987,50.53
"5",NA,15.91
"6",NA,15.92
"7",NA,78.15
"8",NA,73.89
"9",NA,45.99
"10",NA,93.81
"11",NA,36.32
"12",NA,28.79
"13",NA,47.32
"14",NA,83.94
"15",NA,91.52
"16",NA,29.54
"17",NA,63.23
"18",NA,28.57
"19",NA,81.68
"20",NA,2.57
"21",NA,79.52
"22",NA,31.06
"23",NA,12.95
"24",NA,57.34
"25",NA,31.78
"26",NA,95.79
"27",NA,17.67
"28",NA,32.32
"29",NA,84.96
"30",NA,93.57
"31",NA,69.6
"32",NA,60.87
"33",NA,51.85
"34",NA,43.26
"35",NA,18.4
"36",47.4899413433251,81.75
"37",NA,28.01
"38",NA,20.56
"39",48.7326270119979,67.84
"40",NA,45.22
"41",NA,31.2
"42",50.760829194069,0.06
"43",NA,27.16
"44",NA,42.68
"45",NA,53.78
"46",NA,71.86
"47",54.2329352691283,77.84
"48",NA,32.56
"49",NA,4.35
"50",48.8607837057124,79.14
"51",NA,65.92
"52",NA,62.52
"53",NA,71.71
"54",NA,54.17
"55",NA,11.09
"56",NA,0.13
"57",NA,5.11
"58",NA,97.18
"59",NA,15.23
"60",NA,25.61
"61",NA,79.37
"62",NA,74.97
"63",NA,48.51
"64",39.5504397112451,39.12
"65",NA,93.58
"66",51.7731725107231,41.95
"67",NA,57.04
"68",NA,1.45
"69",NA,57.95
"70",NA,19.83
"71",NA,53.09
"72",NA,68.29
"73",NA,68.41
"74",NA,18.76
"75",NA,72.18
"76",NA,90.52
"77",NA,13.88
"78",NA,13.61
"79",NA,8
"80",NA,71.85
"81",NA,15.5
"82",NA,46.65
"83",NA,96.38
"84",NA,42.36
"85",NA,67.5
"86",NA,87.85
"87",NA,37.45
"88",NA,36.35
"89",NA,61.97
"90",45.7707493547074,23.64
"91",NA,2.62
"92",NA,72.91
"93",NA,67.57
"94",NA,89.57
"95",NA,90.46
"96",NA,65.9
"97",NA,41.43
"98",43.143241469095,83.05
"99",NA,55.76
"100",NA,73.91
